Geography,Geographic Area Name,Estimate!!Gini Index,Margin of Error!!Gini Index,year
0500000US47161,"Stewart County, Tennessee",0.4364,0.034,2012
0500000US30095,"Stillwater County, Montana",0.4077,0.0234,2012
0500000US29207,"Stoddard County, Missouri",0.4749,0.041,2012
0500000US37169,"Stokes County, North Carolina",0.4192,0.0166,2012
0500000US05137,"Stone County, Arkansas",0.4366,0.0274,2012
0500000US28131,"Stone County, Mississippi",0.5023,0.0852,2012
0500000US29209,"Stone County, Missouri",0.406,0.0187,2012
0500000US48433,"Stonewall County, Texas",0.455,0.0551,2012
0500000US32029,"Storey County, Nevada",0.3738,0.0435,2012
0500000US19169,"Story County, Iowa",0.4561,0.0128,2012
0500000US33017,"Strafford County, New Hampshire",0.4353,0.0147,2012
0500000US38093,"Stutsman County, North Dakota",0.4234,0.019,2012
0500000US56035,"Sublette County, Wyoming",0.3638,0.031,2012
0500000US25025,"Suffolk County, Massachusetts",0.5245,0.0054,2012
0500000US36103,"Suffolk County, New York",0.4181,0.0035,2012
0500000US51800,"Suffolk city, Virginia",0.4159,0.0123,2012
0500000US18153,"Sullivan County, Indiana",0.4161,0.0215,2012
0500000US29211,"Sullivan County, Missouri",0.4058,0.0275,2012
0500000US33019,"Sullivan County, New Hampshire",0.4091,0.0113,2012
0500000US36105,"Sullivan County, New York",0.4441,0.011,2012
0500000US42113,"Sullivan County, Pennsylvania",0.438,0.0281,2012
0500000US47163,"Sullivan County, Tennessee",0.4647,0.0094,2012
0500000US46119,"Sully County, South Dakota",0.4195,0.0385,2012
0500000US54089,"Summers County, West Virginia",0.4282,0.0226,2012
0500000US08117,"Summit County, Colorado",0.4088,0.021,2012
0500000US39153,"Summit County, Ohio",0.4613,0.0049,2012
0500000US49043,"Summit County, Utah",0.4555,0.0219,2012
0500000US20191,"Sumner County, Kansas",0.4026,0.0137,2012
0500000US47165,"Sumner County, Tennessee",0.4378,0.0181,2012
0500000US01119,"Sumter County, Alabama",0.4952,0.0268,2012
0500000US12119,"Sumter County, Florida",0.4078,0.0192,2012
0500000US13261,"Sumter County, Georgia",0.4746,0.0195,2012
0500000US45085,"Sumter County, South Carolina",0.4318,0.0128,2012
0500000US28133,"Sunflower County, Mississippi",0.5064,0.0338,2012
0500000US37171,"Surry County, North Carolina",0.4493,0.0124,2012
0500000US51181,"Surry County, Virginia",0.3613,0.0236,2012
0500000US42115,"Susquehanna County, Pennsylvania",0.4113,0.0126,2012
0500000US10005,"Sussex County, Delaware",0.428,0.006,2012
0500000US34037,"Sussex County, New Jersey",0.3856,0.0082,2012
0500000US51183,"Sussex County, Virginia",0.404,0.0289,2012
0500000US06101,"Sutter County, California",0.4403,0.0146,2012
0500000US48435,"Sutton County, Texas",0.4387,0.0713,2012
0500000US12121,"Suwannee County, Florida",0.4335,0.0246,2012
0500000US37173,"Swain County, North Carolina",0.4342,0.0289,2012
0500000US30097,"Sweet Grass County, Montana",0.4153,0.0276,2012
0500000US56037,"Sweetwater County, Wyoming",0.3627,0.0114,2012
0500000US27151,"Swift County, Minnesota",0.4039,0.016,2012
0500000US48437,"Swisher County, Texas",0.4282,0.0264,2012
0500000US18155,"Switzerland County, Indiana",0.3849,0.025,2012
0500000US13263,"Talbot County, Georgia",0.4987,0.0345,2012
0500000US24041,"Talbot County, Maryland",0.4769,0.0183,2012
0500000US13265,"Taliaferro County, Georgia",0.4398,0.0543,2012
0500000US01121,"Talladega County, Alabama",0.4509,0.0105,2012
0500000US28135,"Tallahatchie County, Mississippi",0.4546,0.0234,2012
0500000US01123,"Tallapoosa County, Alabama",0.4593,0.0236,2012
0500000US19171,"Tama County, Iowa",0.413,0.0184,2012
0500000US29213,"Taney County, Missouri",0.4561,0.042,2012
0500000US22105,"Tangipahoa Parish, Louisiana",0.4661,0.013,2012
0500000US35055,"Taos County, New Mexico",0.4782,0.0233,2012
0500000US48439,"Tarrant County, Texas",0.4553,0.0031,2012
0500000US28137,"Tate County, Mississippi",0.4442,0.0433,2012
0500000US13267,"Tattnall County, Georgia",0.4658,0.0257,2012
0500000US12123,"Taylor County, Florida",0.4507,0.0337,2012
0500000US13269,"Taylor County, Georgia",0.4817,0.025,2012
0500000US19173,"Taylor County, Iowa",0.4289,0.0325,2012
0500000US21217,"Taylor County, Kentucky",0.4307,0.02,2012
0500000US48441,"Taylor County, Texas",0.4645,0.0177,2012
0500000US54091,"Taylor County, West Virginia",0.4277,0.0208,2012
0500000US55119,"Taylor County, Wisconsin",0.4169,0.0159,2012
0500000US17179,"Tazewell County, Illinois",0.3986,0.0096,2012
0500000US51185,"Tazewell County, Virginia",0.4332,0.0151,2012
0500000US06103,"Tehama County, California",0.4317,0.0158,2012
0500000US13271,"Telfair County, Georgia",0.491,0.0295,2012
0500000US08119,"Teller County, Colorado",0.3958,0.0204,2012
0500000US22107,"Tensas Parish, Louisiana",0.4735,0.0313,2012
0500000US22109,"Terrebonne Parish, Louisiana",0.4454,0.0151,2012
0500000US13273,"Terrell County, Georgia",0.4519,0.0216,2012
0500000US48443,"Terrell County, Texas",0.4325,0.0425,2012
0500000US48445,"Terry County, Texas",0.51,0.0765,2012
0500000US16081,"Teton County, Idaho",0.3731,0.0333,2012
0500000US30099,"Teton County, Montana",0.4361,0.0331,2012
0500000US56039,"Teton County, Wyoming",0.4974,0.0621,2012
0500000US29215,"Texas County, Missouri",0.4492,0.0206,2012
0500000US40139,"Texas County, Oklahoma",0.4447,0.0563,2012
0500000US31169,"Thayer County, Nebraska",0.4238,0.0269,2012
0500000US13275,"Thomas County, Georgia",0.5152,0.019,2012
0500000US20193,"Thomas County, Kansas",0.4581,0.0374,2012
0500000US31171,"Thomas County, Nebraska",0.4021,0.0518,2012
0500000US48447,"Throckmorton County, Texas",0.4196,0.0393,2012
0500000US31173,"Thurston County, Nebraska",0.4338,0.0208,2012
0500000US53067,"Thurston County, Washington",0.4014,0.0074,2012
0500000US13277,"Tift County, Georgia",0.4812,0.0189,2012
0500000US41057,"Tillamook County, Oregon",0.4122,0.0218,2012
0500000US40141,"Tillman County, Oklahoma",0.4033,0.0193,2012
0500000US36107,"Tioga County, New York",0.406,0.0129,2012
0500000US42117,"Tioga County, Pennsylvania",0.4214,0.0108,2012
0500000US28139,"Tippah County, Mississippi",0.4729,0.0388,2012
0500000US18157,"Tippecanoe County, Indiana",0.4681,0.01,2012
0500000US18159,"Tipton County, Indiana",0.3704,0.0218,2012
0500000US47167,"Tipton County, Tennessee",0.4201,0.0234,2012
0500000US28141,"Tishomingo County, Mississippi",0.4377,0.0237,2012
0500000US48449,"Titus County, Texas",0.4361,0.0211,2012
0500000US72135,"Toa Alta Municipio, Puerto Rico",0.4841,0.0203,2012
0500000US72137,"Toa Baja Municipio, Puerto Rico",0.4618,0.01,2012
0500000US21219,"Todd County, Kentucky",0.41,0.0243,2012
0500000US27153,"Todd County, Minnesota",0.4182,0.0131,2012
0500000US46121,"Todd County, South Dakota",0.4762,0.0439,2012
0500000US09013,"Tolland County, Connecticut",0.3925,0.0086,2012
0500000US48451,"Tom Green County, Texas",0.4433,0.0107,2012
0500000US36109,"Tompkins County, New York",0.4834,0.0133,2012
0500000US49045,"Tooele County, Utah",0.3644,0.017,2012
0500000US30101,"Toole County, Montana",0.4195,0.0406,2012
0500000US13279,"Toombs County, Georgia",0.4822,0.018,2012
0500000US35057,"Torrance County, New Mexico",0.468,0.0214,2012
0500000US38095,"Towner County, North Dakota",0.4149,0.0297,2012
0500000US13281,"Towns County, Georgia",0.4285,0.0298,2012
0500000US38097,"Traill County, North Dakota",0.4147,0.0288,2012
0500000US37175,"Transylvania County, North Carolina",0.4395,0.0209,2012
0500000US27155,"Traverse County, Minnesota",0.4589,0.0247,2012
0500000US48453,"Travis County, Texas",0.4906,0.0042,2012
0500000US30103,"Treasure County, Montana",0.4051,0.0428,2012
0500000US20195,"Trego County, Kansas",0.371,0.0353,2012
0500000US55121,"Trempealeau County, Wisconsin",0.4016,0.0205,2012
0500000US13283,"Treutlen County, Georgia",0.4997,0.0663,2012
0500000US21221,"Trigg County, Kentucky",0.4676,0.0656,2012
0500000US21223,"Trimble County, Kentucky",0.3677,0.0233,2012
0500000US06105,"Trinity County, California",0.4417,0.0225,2012
0500000US48455,"Trinity County, Texas",0.4395,0.0261,2012
0500000US46123,"Tripp County, South Dakota",0.4152,0.032,2012
0500000US13285,"Troup County, Georgia",0.4685,0.0161,2012
0500000US47169,"Trousdale County, Tennessee",0.4262,0.0413,2012
0500000US72139,"Trujillo Alto Municipio, Puerto Rico",0.4735,0.0137,2012
0500000US39155,"Trumbull County, Ohio",0.4175,0.006,2012
0500000US54093,"Tucker County, West Virginia",0.4219,0.02,2012
0500000US06107,"Tulare County, California",0.4478,0.0068,2012
0500000US40143,"Tulsa County, Oklahoma",0.4788,0.0049,2012
0500000US28143,"Tunica County, Mississippi",0.4528,0.0298,2012
0500000US06109,"Tuolumne County, California",0.4401,0.0124,2012
0500000US13287,"Turner County, Georgia",0.5054,0.0501,2012
0500000US46125,"Turner County, South Dakota",0.4025,0.0235,2012
0500000US01125,"Tuscaloosa County, Alabama",0.474,0.0096,2012
0500000US39157,"Tuscarawas County, Ohio",0.4071,0.0111,2012
0500000US26157,"Tuscola County, Michigan",0.387,0.0102,2012
0500000US13289,"Twiggs County, Georgia",0.5165,0.0422,2012
0500000US16083,"Twin Falls County, Idaho",0.4124,0.0163,2012
0500000US48457,"Tyler County, Texas",0.4179,0.0178,2012
0500000US54095,"Tyler County, West Virginia",0.4099,0.0245,2012
0500000US37177,"Tyrrell County, North Carolina",0.4087,0.0462,2012
0500000US56041,"Uinta County, Wyoming",0.4057,0.0293,2012
0500000US49047,"Uintah County, Utah",0.3849,0.0204,2012
0500000US36111,"Ulster County, New York",0.4432,0.011,2012
0500000US41059,"Umatilla County, Oregon",0.4132,0.0141,2012
0500000US47171,"Unicoi County, Tennessee",0.4673,0.0361,2012
0500000US05139,"Union County, Arkansas",0.4665,0.0161,2012
0500000US12125,"Union County, Florida",0.3857,0.0248,2012
0500000US13291,"Union County, Georgia",0.4613,0.0305,2012
0500000US17181,"Union County, Illinois",0.4152,0.0167,2012
0500000US18161,"Union County, Indiana",0.3813,0.021,2012
0500000US19175,"Union County, Iowa",0.4162,0.0188,2012
0500000US21225,"Union County, Kentucky",0.4297,0.0209,2012
0500000US28145,"Union County, Mississippi",0.4663,0.0327,2012
0500000US34039,"Union County, New Jersey",0.4828,0.0065,2012
0500000US35059,"Union County, New Mexico",0.4317,0.0395,2012
0500000US37179,"Union County, North Carolina",0.4361,0.0104,2012
0500000US39159,"Union County, Ohio",0.3961,0.0164,2012
0500000US41061,"Union County, Oregon",0.4531,0.0223,2012
0500000US42119,"Union County, Pennsylvania",0.4407,0.0165,2012
0500000US45087,"Union County, South Carolina",0.4522,0.0175,2012
0500000US46127,"Union County, South Dakota",0.4675,0.0343,2012
0500000US47173,"Union County, Tennessee",0.432,0.0198,2012
0500000US22111,"Union Parish, Louisiana",0.4617,0.0182,2012
0500000US48459,"Upshur County, Texas",0.4329,0.0198,2012
0500000US54097,"Upshur County, West Virginia",0.4212,0.018,2012
0500000US13293,"Upson County, Georgia",0.4214,0.0197,2012
0500000US48461,"Upton County, Texas",0.4107,0.0311,2012
0500000US49049,"Utah County, Utah",0.4143,0.0075,2012
0500000US72141,"Utuado Municipio, Puerto Rico",0.5166,0.0172,2012
0500000US48463,"Uvalde County, Texas",0.4823,0.0219,2012
0500000US48465,"Val Verde County, Texas",0.4413,0.0244,2012
0500000US02261,"Valdez-Cordova Census Area, Alaska",0.3943,0.0249,2012
0500000US35061,"Valencia County, New Mexico",0.4418,0.016,2012
0500000US16085,"Valley County, Idaho",0.3884,0.0332,2012
0500000US30105,"Valley County, Montana",0.4074,0.0185,2012
0500000US31175,"Valley County, Nebraska",0.3953,0.0262,2012
0500000US05141,"Van Buren County, Arkansas",0.4401,0.0304,2012
0500000US19177,"Van Buren County, Iowa",0.4003,0.0243,2012
0500000US26159,"Van Buren County, Michigan",0.4261,0.0091,2012
0500000US47175,"Van Buren County, Tennessee",0.468,0.0691,2012
0500000US39161,"Van Wert County, Ohio",0.3932,0.0156,2012
0500000US48467,"Van Zandt County, Texas",0.4377,0.0221,2012
0500000US37181,"Vance County, North Carolina",0.4514,0.0152,2012
0500000US18163,"Vanderburgh County, Indiana",0.4506,0.0099,2012
0500000US72143,"Vega Alta Municipio, Puerto Rico",0.5536,0.0372,2012
0500000US72145,"Vega Baja Municipio, Puerto Rico",0.5527,0.0179,2012
0500000US42121,"Venango County, Pennsylvania",0.4034,0.0115,2012
0500000US06111,"Ventura County, California",0.4384,0.0045,2012
0500000US17183,"Vermilion County, Illinois",0.4279,0.0099,2012
0500000US22113,"Vermilion Parish, Louisiana",0.4602,0.0179,2012
0500000US18165,"Vermillion County, Indiana",0.4474,0.0435,2012
0500000US29217,"Vernon County, Missouri",0.414,0.015,2012
0500000US55123,"Vernon County, Wisconsin",0.4086,0.0155,2012
0500000US22115,"Vernon Parish, Louisiana",0.3946,0.0105,2012
0500000US48469,"Victoria County, Texas",0.446,0.0155,2012
0500000US72147,"Vieques Municipio, Puerto Rico",0.4709,0.0433,2012
0500000US18167,"Vigo County, Indiana",0.4606,0.0134,2012
0500000US55125,"Vilas County, Wisconsin",0.4437,0.0165,2012
0500000US72149,"Villalba Municipio, Puerto Rico",0.4982,0.0216,2012
0500000US39163,"Vinton County, Ohio",0.4114,0.0191,2012
0500000US51810,"Virginia Beach city, Virginia",0.4054,0.0057,2012
0500000US12127,"Volusia County, Florida",0.4516,0.0067,2012
0500000US17185,"Wabash County, Illinois",0.4178,0.0281,2012
0500000US18169,"Wabash County, Indiana",0.3969,0.0127,2012
0500000US27157,"Wabasha County, Minnesota",0.4063,0.0181,2012
0500000US20197,"Wabaunsee County, Kansas",0.3407,0.017,2012
0500000US02270,"Wade Hampton Census Area, Alaska",0.3894,0.0171,2012
0500000US27159,"Wadena County, Minnesota",0.4461,0.0193,2012
0500000US40145,"Wagoner County, Oklahoma",0.3937,0.012,2012
0500000US53069,"Wahkiakum County, Washington",0.4155,0.0519,2012
0500000US37183,"Wake County, North Carolina",0.4386,0.0049,2012
0500000US12129,"Wakulla County, Florida",0.404,0.0261,2012
0500000US23027,"Waldo County, Maine",0.4243,0.0162,2012
0500000US01127,"Walker County, Alabama",0.4506,0.0147,2012
0500000US13295,"Walker County, Georgia",0.4478,0.0181,2012
0500000US48471,"Walker County, Texas",0.4891,0.032,2012
0500000US53071,"Walla Walla County, Washington",0.4456,0.0139,2012
0500000US20199,"Wallace County, Kansas",0.3975,0.0354,2012
0500000US48473,"Waller County, Texas",0.4466,0.0229,2012
0500000US41063,"Wallowa County, Oregon",0.4214,0.0221,2012
0500000US38099,"Walsh County, North Dakota",0.4211,0.0271,2012
0500000US28147,"Walthall County, Mississippi",0.4952,0.0263,2012
0500000US12131,"Walton County, Florida",0.4796,0.0213,2012
0500000US13297,"Walton County, Georgia",0.4199,0.013,2012
0500000US46129,"Walworth County, South Dakota",0.4569,0.0426,2012
0500000US55127,"Walworth County, Wisconsin",0.4259,0.0117,2012
0500000US19179,"Wapello County, Iowa",0.4468,0.0171,2012
0500000US38101,"Ward County, North Dakota",0.4166,0.0151,2012
0500000US48475,"Ward County, Texas",0.465,0.0291,2012
0500000US13299,"Ware County, Georgia",0.4711,0.0247,2012
0500000US13301,"Warren County, Georgia",0.48,0.0377,2012
0500000US17187,"Warren County, Illinois",0.416,0.0193,2012
0500000US18171,"Warren County, Indiana",0.4149,0.031,2012
0500000US19181,"Warren County, Iowa",0.3986,0.0189,2012
0500000US21227,"Warren County, Kentucky",0.4679,0.0148,2012
0500000US28149,"Warren County, Mississippi",0.4792,0.0165,2012
0500000US29219,"Warren County, Missouri",0.4233,0.0176,2012
0500000US34041,"Warren County, New Jersey",0.3975,0.0112,2012
0500000US36113,"Warren County, New York",0.425,0.012,2012
0500000US37185,"Warren County, North Carolina",0.47,0.0254,2012
0500000US39165,"Warren County, Ohio",0.4095,0.0088,2012
0500000US42123,"Warren County, Pennsylvania",0.4236,0.0149,2012
0500000US47177,"Warren County, Tennessee",0.4811,0.023,2012
0500000US51187,"Warren County, Virginia",0.4383,0.028,2012
0500000US18173,"Warrick County, Indiana",0.4261,0.0259,2012
0500000US49051,"Wasatch County, Utah",0.4205,0.0228,2012
0500000US41065,"Wasco County, Oregon",0.4269,0.0211,2012
0500000US27161,"Waseca County, Minnesota",0.3921,0.0199,2012
0500000US56043,"Washakie County, Wyoming",0.4536,0.0462,2012
0500000US55129,"Washburn County, Wisconsin",0.4184,0.0149,2012
0500000US01129,"Washington County, Alabama",0.4428,0.0183,2012
0500000US05143,"Washington County, Arkansas",0.4786,0.0087,2012
0500000US08121,"Washington County, Colorado",0.4234,0.0237,2012
0500000US12133,"Washington County, Florida",0.4183,0.0226,2012
0500000US13303,"Washington County, Georgia",0.4692,0.0219,2012
0500000US16087,"Washington County, Idaho",0.4317,0.0251,2012
0500000US17189,"Washington County, Illinois",0.3793,0.0167,2012
0500000US18175,"Washington County, Indiana",0.4045,0.0242,2012
0500000US19183,"Washington County, Iowa",0.3948,0.0194,2012
0500000US20201,"Washington County, Kansas",0.3887,0.0199,2012
0500000US21229,"Washington County, Kentucky",0.4058,0.0207,2012
0500000US23029,"Washington County, Maine",0.4214,0.0089,2012
0500000US24043,"Washington County, Maryland",0.4193,0.0093,2012
0500000US27163,"Washington County, Minnesota",0.4066,0.0067,2012
0500000US28151,"Washington County, Mississippi",0.5007,0.0136,2012
0500000US29221,"Washington County, Missouri",0.4678,0.0423,2012
0500000US31177,"Washington County, Nebraska",0.3791,0.019,2012
0500000US36115,"Washington County, New York",0.3894,0.0118,2012
0500000US37187,"Washington County, North Carolina",0.4702,0.034,2012
0500000US39167,"Washington County, Ohio",0.4315,0.0123,2012
0500000US40147,"Washington County, Oklahoma",0.4562,0.0162,2012
0500000US41067,"Washington County, Oregon",0.4257,0.0062,2012
0500000US42125,"Washington County, Pennsylvania",0.4356,0.0079,2012
0500000US44009,"Washington County, Rhode Island",0.4369,0.0121,2012
0500000US47179,"Washington County, Tennessee",0.4832,0.0119,2012
0500000US48477,"Washington County, Texas",0.4571,0.0241,2012
0500000US49053,"Washington County, Utah",0.4193,0.0117,2012
0500000US50023,"Washington County, Vermont",0.4124,0.0147,2012
0500000US51191,"Washington County, Virginia",0.4547,0.0196,2012
0500000US55131,"Washington County, Wisconsin",0.3975,0.0132,2012
0500000US22117,"Washington Parish, Louisiana",0.4926,0.0235,2012
0500000US40149,"Washita County, Oklahoma",0.43,0.0202,2012
0500000US32031,"Washoe County, Nevada",0.4668,0.007,2012
0500000US26161,"Washtenaw County, Michigan",0.4689,0.006,2012
0500000US37189,"Watauga County, North Carolina",0.5182,0.0212,2012
0500000US27165,"Watonwan County, Minnesota",0.4128,0.0225,2012
0500000US55133,"Waukesha County, Wisconsin",0.415,0.0054,2012
0500000US55135,"Waupaca County, Wisconsin",0.3928,0.0132,2012
0500000US55137,"Waushara County, Wisconsin",0.3951,0.0115,2012
0500000US13305,"Wayne County, Georgia",0.4492,0.0189,2012
0500000US17191,"Wayne County, Illinois",0.4361,0.0299,2012
0500000US18177,"Wayne County, Indiana",0.4542,0.0165,2012
0500000US19185,"Wayne County, Iowa",0.4297,0.0218,2012
0500000US21231,"Wayne County, Kentucky",0.4734,0.0288,2012
0500000US26163,"Wayne County, Michigan",0.4789,0.0026,2012
0500000US28153,"Wayne County, Mississippi",0.4889,0.0297,2012
0500000US29223,"Wayne County, Missouri",0.4506,0.0403,2012
0500000US31179,"Wayne County, Nebraska",0.3821,0.0196,2012
0500000US36117,"Wayne County, New York",0.3899,0.0126,2012
0500000US37191,"Wayne County, North Carolina",0.4381,0.0097,2012
0500000US39169,"Wayne County, Ohio",0.4052,0.01,2012
0500000US42127,"Wayne County, Pennsylvania",0.4206,0.0126,2012
0500000US47181,"Wayne County, Tennessee",0.4319,0.021,2012
0500000US49055,"Wayne County, Utah",0.4157,0.0414,2012
0500000US54099,"Wayne County, West Virginia",0.4546,0.0156,2012
0500000US51820,"Waynesboro city, Virginia",0.4619,0.0365,2012
0500000US47183,"Weakley County, Tennessee",0.472,0.0147,2012
0500000US48479,"Webb County, Texas",0.4604,0.0076,2012
0500000US49057,"Weber County, Utah",0.3999,0.0092,2012
0500000US13307,"Webster County, Georgia",0.4612,0.0339,2012
0500000US19187,"Webster County, Iowa",0.446,0.0212,2012
0500000US21233,"Webster County, Kentucky",0.4214,0.0248,2012
0500000US28155,"Webster County, Mississippi",0.466,0.0258,2012
0500000US29225,"Webster County, Missouri",0.41,0.0248,2012
0500000US31181,"Webster County, Nebraska",0.4204,0.0235,2012
0500000US54101,"Webster County, West Virginia",0.4628,0.0302,2012
0500000US22119,"Webster Parish, Louisiana",0.4604,0.0197,2012
0500000US08123,"Weld County, Colorado",0.4235,0.008,2012
0500000US18179,"Wells County, Indiana",0.3874,0.0178,2012
0500000US38103,"Wells County, North Dakota",0.4448,0.0293,2012
0500000US22121,"West Baton Rouge Parish, Louisiana",0.4279,0.0192,2012
0500000US22123,"West Carroll Parish, Louisiana",0.4738,0.0227,2012
0500000US22125,"West Feliciana Parish, Louisiana",0.448,0.0268,2012
0500000US36119,"Westchester County, New York",0.5364,0.0049,2012
0500000US42129,"Westmoreland County, Pennsylvania",0.4389,0.0064,2012
0500000US51193,"Westmoreland County, Virginia",0.4105,0.0208,2012
0500000US56045,"Weston County, Wyoming",0.3928,0.0263,2012
0500000US54103,"Wetzel County, West Virginia",0.4537,0.0286,2012
0500000US26165,"Wexford County, Michigan",0.4277,0.0162,2012
0500000US48481,"Wharton County, Texas",0.4751,0.0206,2012
0500000US53073,"Whatcom County, Washington",0.4414,0.0107,2012
0500000US30107,"Wheatland County, Montana",0.4075,0.0368,2012
0500000US13309,"Wheeler County, Georgia",0.414,0.0264,2012
0500000US31183,"Wheeler County, Nebraska",0.4768,0.0655,2012
0500000US41069,"Wheeler County, Oregon",0.4489,0.0454,2012
0500000US48483,"Wheeler County, Texas",0.4933,0.044,2012
0500000US05145,"White County, Arkansas",0.4553,0.0208,2012
0500000US13311,"White County, Georgia",0.4555,0.0331,2012
0500000US17193,"White County, Illinois",0.4542,0.0308,2012
0500000US18181,"White County, Indiana",0.3925,0.0202,2012
0500000US47185,"White County, Tennessee",0.4432,0.0305,2012
0500000US32033,"White Pine County, Nevada",0.4118,0.0273,2012
0500000US17195,"Whiteside County, Illinois",0.415,0.0137,2012
0500000US13313,"Whitfield County, Georgia",0.4547,0.0169,2012
0500000US18183,"Whitley County, Indiana",0.3733,0.0138,2012
0500000US21235,"Whitley County, Kentucky",0.4645,0.0209,2012
0500000US53075,"Whitman County, Washington",0.5218,0.0131,2012
0500000US30109,"Wibaux County, Montana",0.4311,0.0525,2012
0500000US20203,"Wichita County, Kansas",0.3643,0.0365,2012
0500000US48485,"Wichita County, Texas",0.4609,0.0168,2012
0500000US24045,"Wicomico County, Maryland",0.4443,0.0119,2012
0500000US48487,"Wilbarger County, Texas",0.4469,0.0483,2012
0500000US01131,"Wilcox County, Alabama",0.522,0.0203,2012
0500000US13315,"Wilcox County, Georgia",0.469,0.0287,2012
0500000US13317,"Wilkes County, Georgia",0.4702,0.032,2012
0500000US37193,"Wilkes County, North Carolina",0.4748,0.0309,2012
0500000US27167,"Wilkin County, Minnesota",0.3606,0.0199,2012
0500000US13319,"Wilkinson County, Georgia",0.4012,0.0267,2012
0500000US28157,"Wilkinson County, Mississippi",0.493,0.0949,2012
0500000US17197,"Will County, Illinois",0.393,0.0052,2012
0500000US48489,"Willacy County, Texas",0.5339,0.0281,2012
0500000US38105,"Williams County, North Dakota",0.4293,0.0239,2012
0500000US39171,"Williams County, Ohio",0.3978,0.0122,2012
0500000US45089,"Williamsburg County, South Carolina",0.4785,0.0173,2012
0500000US51830,"Williamsburg city, Virginia",0.4745,0.0292,2012
0500000US17199,"Williamson County, Illinois",0.4443,0.0166,2012
0500000US47187,"Williamson County, Tennessee",0.4336,0.009,2012
0500000US48491,"Williamson County, Texas",0.3783,0.0069,2012
0500000US20205,"Wilson County, Kansas",0.3886,0.0209,2012
0500000US37195,"Wilson County, North Carolina",0.449,0.0148,2012
0500000US47189,"Wilson County, Tennessee",0.4054,0.0105,2012
0500000US48493,"Wilson County, Texas",0.4083,0.022,2012
0500000US51840,"Winchester city, Virginia",0.4778,0.0213,2012
0500000US09015,"Windham County, Connecticut",0.4105,0.0088,2012
0500000US50025,"Windham County, Vermont",0.4328,0.0177,2012
0500000US50027,"Windsor County, Vermont",0.448,0.0207,2012
0500000US48495,"Winkler County, Texas",0.4257,0.0446,2012
0500000US22127,"Winn Parish, Louisiana",0.4586,0.0259,2012
0500000US17201,"Winnebago County, Illinois",0.4473,0.0079,2012
0500000US19189,"Winnebago County, Iowa",0.3937,0.0162,2012
0500000US55139,"Winnebago County, Wisconsin",0.435,0.0113,2012
0500000US19191,"Winneshiek County, Iowa",0.3933,0.0152,2012
0500000US27169,"Winona County, Minnesota",0.4384,0.0106,2012
0500000US01133,"Winston County, Alabama",0.478,0.0281,2012
0500000US28159,"Winston County, Mississippi",0.4603,0.0344,2012
0500000US54105,"Wirt County, West Virginia",0.3852,0.044,2012
0500000US48497,"Wise County, Texas",0.4173,0.0271,2012
0500000US51195,"Wise County, Virginia",0.4544,0.0141,2012
0500000US21237,"Wolfe County, Kentucky",0.5014,0.0296,2012
0500000US39173,"Wood County, Ohio",0.4358,0.0094,2012
0500000US48499,"Wood County, Texas",0.437,0.017,2012
0500000US54107,"Wood County, West Virginia",0.4491,0.0122,2012
0500000US55141,"Wood County, Wisconsin",0.4143,0.01,2012
0500000US19193,"Woodbury County, Iowa",0.4325,0.0141,2012
0500000US17203,"Woodford County, Illinois",0.402,0.0173,2012
0500000US21239,"Woodford County, Kentucky",0.4385,0.0275,2012
0500000US05147,"Woodruff County, Arkansas",0.5209,0.0497,2012
0500000US40151,"Woods County, Oklahoma",0.4353,0.0376,2012
0500000US20207,"Woodson County, Kansas",0.47,0.0379,2012
0500000US40153,"Woodward County, Oklahoma",0.4429,0.0348,2012
0500000US24047,"Worcester County, Maryland",0.4586,0.0268,2012
0500000US25027,"Worcester County, Massachusetts",0.4351,0.0039,2012
0500000US13321,"Worth County, Georgia",0.4316,0.0243,2012
0500000US19195,"Worth County, Iowa",0.4584,0.0442,2012
0500000US29227,"Worth County, Missouri",0.398,0.0591,2012
0500000US02275,"Wrangell City and Borough, Alaska",0.4049,0.0336,2012
0500000US19197,"Wright County, Iowa",0.4334,0.0284,2012
0500000US27171,"Wright County, Minnesota",0.378,0.0102,2012
0500000US29229,"Wright County, Missouri",0.4398,0.0413,2012
0500000US39175,"Wyandot County, Ohio",0.3955,0.0206,2012
0500000US20209,"Wyandotte County, Kansas",0.4391,0.0102,2012
0500000US36121,"Wyoming County, New York",0.3877,0.0127,2012
0500000US42131,"Wyoming County, Pennsylvania",0.4029,0.0107,2012
0500000US54109,"Wyoming County, West Virginia",0.4255,0.016,2012
0500000US51197,"Wythe County, Virginia",0.4703,0.0454,2012
0500000US72151,"Yabucoa Municipio, Puerto Rico",0.4571,0.0173,2012
0500000US37197,"Yadkin County, North Carolina",0.4579,0.027,2012
0500000US53077,"Yakima County, Washington",0.4323,0.0097,2012
0500000US02282,"Yakutat City and Borough, Alaska",0.342,0.0443,2012
0500000US28161,"Yalobusha County, Mississippi",0.4491,0.0335,2012
0500000US41071,"Yamhill County, Oregon",0.4151,0.0125,2012
0500000US37199,"Yancey County, North Carolina",0.4041,0.0229,2012
0500000US46135,"Yankton County, South Dakota",0.4554,0.036,2012
0500000US36123,"Yates County, New York",0.4439,0.0273,2012
