,STATE,state_fips,STATE_NAME,geo_idx,sa,series,year,Q1,Q2,Q3,Q4,state_formations
376,OR,41,Oregon,43,U,BF_BF8Q,2011,1436,1195,1098,1089,4818
377,OR,41,Oregon,43,U,BF_BF8Q,2012,1319,1179,1053,1172,4723
378,OR,41,Oregon,43,U,BF_BF8Q,2013,1446,1193,1175,1140,4954
379,OR,41,Oregon,43,U,BF_BF8Q,2014,1438,1351,1206,1266,5261
380,PA,42,Pennsylvania,44,U,BF_BF8Q,2005,4526,4205,3901,3518,16150
381,PA,42,Pennsylvania,44,U,BF_BF8Q,2006,4195,3697,3224,3189,14305
382,PA,42,Pennsylvania,44,U,BF_BF8Q,2007,3882,3444,3101,3179,13606
383,PA,42,Pennsylvania,44,U,BF_BF8Q,2008,3337,3058,2627,2494,11516
384,PA,42,Pennsylvania,44,U,BF_BF8Q,2009,2791,2557,2395,2495,10238
385,PA,42,Pennsylvania,44,U,BF_BF8Q,2010,2831,2750,2450,2435,10466
386,PA,42,Pennsylvania,44,U,BF_BF8Q,2011,2853,2753,2353,2378,10337
387,PA,42,Pennsylvania,44,U,BF_BF8Q,2012,2818,2667,2267,2415,10167
388,PA,42,Pennsylvania,44,U,BF_BF8Q,2013,2736,2577,2326,2277,9916
389,PA,42,Pennsylvania,44,U,BF_BF8Q,2014,2689,2598,2326,2505,10118
390,RI,44,Rhode Island,45,U,BF_BF8Q,2005,531,563,418,365,1877
391,RI,44,Rhode Island,45,U,BF_BF8Q,2006,509,448,361,350,1668
392,RI,44,Rhode Island,45,U,BF_BF8Q,2007,403,393,340,286,1422
393,RI,44,Rhode Island,45,U,BF_BF8Q,2008,355,315,285,235,1190
394,RI,44,Rhode Island,45,U,BF_BF8Q,2009,301,331,267,243,1142
395,RI,44,Rhode Island,45,U,BF_BF8Q,2010,338,288,268,264,1158
396,RI,44,Rhode Island,45,U,BF_BF8Q,2011,328,302,226,203,1059
397,RI,44,Rhode Island,45,U,BF_BF8Q,2012,315,294,256,249,1114
398,RI,44,Rhode Island,45,U,BF_BF8Q,2013,298,281,225,234,1038
399,RI,44,Rhode Island,45,U,BF_BF8Q,2014,340,311,261,213,1125
400,SC,45,South Carolina,46,U,BF_BF8Q,2005,2126,1859,1773,1610,7368
401,SC,45,South Carolina,46,U,BF_BF8Q,2006,1894,1769,1618,1432,6713
402,SC,45,South Carolina,46,U,BF_BF8Q,2007,1779,1600,1293,1320,5992
403,SC,45,South Carolina,46,U,BF_BF8Q,2008,1417,1293,1097,1051,4858
404,SC,45,South Carolina,46,U,BF_BF8Q,2009,1146,1090,1019,963,4218
405,SC,45,South Carolina,46,U,BF_BF8Q,2010,1168,1084,930,968,4150
406,SC,45,South Carolina,46,U,BF_BF8Q,2011,1118,1069,941,940,4068
407,SC,45,South Carolina,46,U,BF_BF8Q,2012,1090,1032,953,949,4024
408,SC,45,South Carolina,46,U,BF_BF8Q,2013,1179,1071,999,938,4187
409,SC,45,South Carolina,46,U,BF_BF8Q,2014,1201,1211,1085,1072,4569
410,SD,46,South Dakota,47,U,BF_BF8Q,2005,510,529,327,363,1729
411,SD,46,South Dakota,47,U,BF_BF8Q,2006,466,456,352,303,1577
412,SD,46,South Dakota,47,U,BF_BF8Q,2007,394,392,292,326,1404
413,SD,46,South Dakota,47,U,BF_BF8Q,2008,372,346,276,256,1250
414,SD,46,South Dakota,47,U,BF_BF8Q,2009,326,300,216,243,1085
415,SD,46,South Dakota,47,U,BF_BF8Q,2010,254,306,262,186,1008
416,SD,46,South Dakota,47,U,BF_BF8Q,2011,324,285,242,273,1124
417,SD,46,South Dakota,47,U,BF_BF8Q,2012,301,288,255,253,1097
418,SD,46,South Dakota,47,U,BF_BF8Q,2013,320,276,250,229,1075
419,SD,46,South Dakota,47,U,BF_BF8Q,2014,312,310,267,266,1155
420,TN,47,Tennessee,48,U,BF_BF8Q,2005,2436,2178,1988,1898,8500
421,TN,47,Tennessee,48,U,BF_BF8Q,2006,2360,2058,1903,1772,8093
422,TN,47,Tennessee,48,U,BF_BF8Q,2007,2146,1889,1771,1661,7467
423,TN,47,Tennessee,48,U,BF_BF8Q,2008,1754,1546,1358,1248,5906
424,TN,47,Tennessee,48,U,BF_BF8Q,2009,1523,1374,1327,1352,5576
425,TN,47,Tennessee,48,U,BF_BF8Q,2010,1625,1441,1406,1262,5734
426,TN,47,Tennessee,48,U,BF_BF8Q,2011,1526,1360,1297,1231,5414
427,TN,47,Tennessee,48,U,BF_BF8Q,2012,1429,1300,1160,1239,5128
428,TN,47,Tennessee,48,U,BF_BF8Q,2013,1516,1226,1261,1187,5190
429,TN,47,Tennessee,48,U,BF_BF8Q,2014,1449,1321,1339,1232,5341
430,TX,48,Texas,49,U,BF_BF8Q,2005,10228,8800,8196,7916,35140
431,TX,48,Texas,49,U,BF_BF8Q,2006,9749,8834,7835,7512,33930
432,TX,48,Texas,49,U,BF_BF8Q,2007,8904,8297,7780,7384,32365
433,TX,48,Texas,49,U,BF_BF8Q,2008,8309,7297,6571,6079,28256
434,TX,48,Texas,49,U,BF_BF8Q,2009,7142,6672,6302,6076,26192
435,TX,48,Texas,49,U,BF_BF8Q,2010,7622,7210,6544,6299,27675
436,TX,48,Texas,49,U,BF_BF8Q,2011,7988,7228,6990,6372,28578
437,TX,48,Texas,49,U,BF_BF8Q,2012,7551,7131,6316,6627,27625
438,TX,48,Texas,49,U,BF_BF8Q,2013,7838,7121,6938,6591,28488
439,TX,48,Texas,49,U,BF_BF8Q,2014,8145,7674,7154,6972,29945
440,UT,49,Utah,50,U,BF_BF8Q,2005,1902,1719,1576,1505,6702
441,UT,49,Utah,50,U,BF_BF8Q,2006,1959,1818,1497,1505,6779
442,UT,49,Utah,50,U,BF_BF8Q,2007,1882,1594,1315,1298,6089
443,UT,49,Utah,50,U,BF_BF8Q,2008,1358,1182,1074,1045,4659
444,UT,49,Utah,50,U,BF_BF8Q,2009,1156,1112,947,967,4182
445,UT,49,Utah,50,U,BF_BF8Q,2010,1217,1029,936,977,4159
446,UT,49,Utah,50,U,BF_BF8Q,2011,1162,1100,1077,867,4206
447,UT,49,Utah,50,U,BF_BF8Q,2012,1151,1033,887,948,4019
448,UT,49,Utah,50,U,BF_BF8Q,2013,1163,1021,876,995,4055
449,UT,49,Utah,50,U,BF_BF8Q,2014,1232,1089,922,1092,4335
450,VT,50,Vermont,51,U,BF_BF8Q,2005,365,361,307,259,1292
451,VT,50,Vermont,51,U,BF_BF8Q,2006,312,321,246,243,1122
452,VT,50,Vermont,51,U,BF_BF8Q,2007,310,274,238,225,1047
453,VT,50,Vermont,51,U,BF_BF8Q,2008,237,249,184,181,851
454,VT,50,Vermont,51,U,BF_BF8Q,2009,206,213,162,148,729
455,VT,50,Vermont,51,U,BF_BF8Q,2010,207,213,201,176,797
456,VT,50,Vermont,51,U,BF_BF8Q,2011,174,204,169,176,723
457,VT,50,Vermont,51,U,BF_BF8Q,2012,178,202,127,177,684
458,VT,50,Vermont,51,U,BF_BF8Q,2013,214,185,170,170,739
459,VT,50,Vermont,51,U,BF_BF8Q,2014,179,183,174,169,705
460,VA,51,Virginia,52,U,BF_BF8Q,2005,4031,3689,3291,2976,13987
461,VA,51,Virginia,52,U,BF_BF8Q,2006,3807,3301,2726,2596,12430
462,VA,51,Virginia,52,U,BF_BF8Q,2007,3128,2927,2522,2384,10961
463,VA,51,Virginia,52,U,BF_BF8Q,2008,2680,2359,2018,1936,8993
464,VA,51,Virginia,52,U,BF_BF8Q,2009,2324,2107,1860,1753,8044
465,VA,51,Virginia,52,U,BF_BF8Q,2010,2228,2183,1916,1833,8160
466,VA,51,Virginia,52,U,BF_BF8Q,2011,2272,2050,1906,1810,8038
467,VA,51,Virginia,52,U,BF_BF8Q,2012,2214,2032,1793,1885,7924
468,VA,51,Virginia,52,U,BF_BF8Q,2013,2248,1970,1836,1833,7887
469,VA,51,Virginia,52,U,BF_BF8Q,2014,2202,2126,1949,1989,8266
470,WA,53,Washington,53,U,BF_BF8Q,2005,4145,3832,3508,3437,14922
471,WA,53,Washington,53,U,BF_BF8Q,2006,3970,3593,3145,2946,13654
472,WA,53,Washington,53,U,BF_BF8Q,2007,3699,3554,2835,2728,12816
473,WA,53,Washington,53,U,BF_BF8Q,2008,3085,2753,2281,2220,10339
474,WA,53,Washington,53,U,BF_BF8Q,2009,2397,2242,1988,2049,8676
475,WA,53,Washington,53,U,BF_BF8Q,2010,2424,2359,2109,2101,8993
476,WA,53,Washington,53,U,BF_BF8Q,2011,2589,2261,2055,2043,8948
477,WA,53,Washington,53,U,BF_BF8Q,2012,2263,2245,1935,2139,8582
478,WA,53,Washington,53,U,BF_BF8Q,2013,2433,2194,2074,2136,8837
479,WA,53,Washington,53,U,BF_BF8Q,2014,2604,2474,2163,2274,9515
480,WV,54,West Virginia,54,U,BF_BF8Q,2005,624,603,529,523,2279
481,WV,54,West Virginia,54,U,BF_BF8Q,2006,579,497,435,357,1868
482,WV,54,West Virginia,54,U,BF_BF8Q,2007,437,413,421,367,1638
483,WV,54,West Virginia,54,U,BF_BF8Q,2008,430,363,329,287,1409
484,WV,54,West Virginia,54,U,BF_BF8Q,2009,345,320,292,274,1231
485,WV,54,West Virginia,54,U,BF_BF8Q,2010,336,342,328,281,1287
486,WV,54,West Virginia,54,U,BF_BF8Q,2011,323,315,299,274,1211
487,WV,54,West Virginia,54,U,BF_BF8Q,2012,265,327,278,243,1113
488,WV,54,West Virginia,54,U,BF_BF8Q,2013,303,292,274,260,1129
489,WV,54,West Virginia,54,U,BF_BF8Q,2014,294,323,282,249,1148
490,WI,55,Wisconsin,55,U,BF_BF8Q,2005,2232,2285,1819,1747,8083
491,WI,55,Wisconsin,55,U,BF_BF8Q,2006,2018,2108,1550,1534,7210
492,WI,55,Wisconsin,55,U,BF_BF8Q,2007,1892,1639,1475,1383,6389
493,WI,55,Wisconsin,55,U,BF_BF8Q,2008,1529,1494,1233,1122,5378
494,WI,55,Wisconsin,55,U,BF_BF8Q,2009,1271,1252,1105,1159,4787
495,WI,55,Wisconsin,55,U,BF_BF8Q,2010,1269,1214,1099,1095,4677
496,WI,55,Wisconsin,55,U,BF_BF8Q,2011,1304,1230,1027,1044,4605
497,WI,55,Wisconsin,55,U,BF_BF8Q,2012,1177,1172,973,1080,4402
498,WI,55,Wisconsin,55,U,BF_BF8Q,2013,1233,1226,1031,1073,4563
499,WI,55,Wisconsin,55,U,BF_BF8Q,2014,1257,1222,1094,1098,4671
500,WY,56,Wyoming,56,U,BF_BF8Q,2005,449,479,363,339,1630
501,WY,56,Wyoming,56,U,BF_BF8Q,2006,454,451,323,328,1556
502,WY,56,Wyoming,56,U,BF_BF8Q,2007,423,426,303,310,1462
503,WY,56,Wyoming,56,U,BF_BF8Q,2008,384,399,294,254,1331
504,WY,56,Wyoming,56,U,BF_BF8Q,2009,298,275,235,206,1014
505,WY,56,Wyoming,56,U,BF_BF8Q,2010,300,313,253,275,1141
506,WY,56,Wyoming,56,U,BF_BF8Q,2011,321,289,271,242,1123
507,WY,56,Wyoming,56,U,BF_BF8Q,2012,313,268,257,261,1099
508,WY,56,Wyoming,56,U,BF_BF8Q,2013,292,275,230,237,1034
509,WY,56,Wyoming,56,U,BF_BF8Q,2014,350,323,279,279,1231
